Date,VRSN
2015-09-02,0.02223569282699489
2015-09-03,0.002792480137478792
2015-09-04,-0.01612204080360391
2015-09-08,0.0163862201128806
2015-09-09,-0.0019053178246838387
2015-09-10,0.010132188926443408
2015-09-11,0.005378715987670368
2015-09-14,0.0008674502405232598
2015-09-15,0.013579933091147023
2015-09-16,0.006413911324639088
2015-09-17,-0.001699490510383428
2015-09-18,-0.0076607266289340226
2015-09-21,0.016440328660021875
2015-09-22,-0.01701830506650881
2015-09-23,0.005150995943500325
2015-09-24,-0.009252657722884639
2015-09-25,-0.004166720709024019
2015-09-28,-0.024094542386478235
2015-09-29,0.008131220593557753
2015-09-30,0.03475584711852031
2015-10-01,0.012188168450538717
2015-10-02,0.026463135506438418
2015-10-05,0.021415968433298405
2015-10-06,-0.021501065592696378
