Date,CAH
2015-09-02,0.01769932496650961
2015-09-03,-0.006123947393956941
2015-09-04,-0.007393490710730366
2015-09-08,0.021104510509423413
2015-09-09,-0.012279567290024218
2015-09-10,0.021787344731798886
2015-09-11,0.024093609983331987
2015-09-14,-0.008234074535922287
2015-09-15,0.009132759630201548
2015-09-16,0.0032909915625278785
2015-09-17,-0.00691199584133273
2015-09-18,-0.013448441438173364
2015-09-21,-0.007532997708618372
2015-09-22,-0.01807192573471461
2015-09-23,0.0066257260838749055
2015-09-24,-0.0074356597317458695
2015-09-25,-0.023578555450952554
2015-09-28,-0.030058910780324632
2015-09-29,-0.0001695774828551766
2015-09-30,0.0013037242627473855
2015-10-01,0.003905091705723729
2015-10-02,0.01945035990285815
2015-10-05,0.011828751806734816
2015-10-06,-0.01810168212978247
