Date,ANET
2015-09-03,0.01038254327753374
2015-09-04,0.012303997747079798
2015-09-08,0.04527847289017495
2015-09-09,-0.054050641981458813
2015-09-10,-0.05605837625705179
2015-09-11,-0.07756151090404073
2015-09-14,-0.019702148243895823
2015-09-15,0.004905861370916087
2015-09-16,0.00015745388241272806
2015-09-17,0.019209653088382295
2015-09-18,0.033214796616476194
2015-09-21,-0.003139938592953917
2015-09-22,-0.004649731020063941
2015-09-23,-0.012658287515960653
2015-09-24,-0.007936457107884043
2015-09-25,-0.023076923076923106
2015-09-28,-0.019842493252491433
2015-09-29,-0.022011611658680486
2015-09-30,0.00525710038507321
2015-10-01,-0.003105060156449402
2015-10-02,0.02950818421410739
2015-10-05,0.017675169169373284
2015-10-06,0.0542950620292697
2015-10-07,-0.006084833028010328
