Date,INVH
2017-10-03,-0.015658936595011497
2017-10-04,0.008396129306795785
2017-10-05,-0.003943769201917746
2017-10-06,-0.01627826273911681
2017-10-09,0.002683337597463309
2017-10-10,0.012043222539222187
2017-10-11,-0.0022039333402805728
2017-10-12,-0.0013249730593940523
2017-10-13,0.0008842818389487306
2017-10-16,0.00044205819916354194
2017-10-17,0.0004414525028704208
2017-10-18,0.006622762396311321
2017-10-19,-0.0026316556193431984
2017-10-20,0.007915798513669747
2017-10-23,-0.007880992144241095
2017-10-24,0.0008824174417738639
2017-10-25,0.005731932207956314
2017-10-26,-0.0026302502010155937
2017-10-27,0.009230712882800862
2017-10-30,-0.003919851319043488
2017-10-31,-0.013117556331015079
2017-11-01,0.0035444624785681
2017-11-02,0.02472380983524136
2017-11-03,-0.015941226431830824
