Date,JNJ
2015-09-01,-0.020110880183149438
2015-09-02,0.013682563739349174
2015-09-03,-0.007605773767360047
2015-09-04,-0.014356776120459935
2015-09-08,0.028803217044130358
2015-09-09,-0.018309755845436704
2015-09-10,0.005421758150069511
2015-09-11,0.0022648243909011434
2015-09-14,0.00419710521238037
2015-09-15,0.011572592113602287
2015-09-16,0.0022249422788400697
2015-09-17,0.0024307773878931016
2015-09-18,-0.015288910747095152
2015-09-21,-0.002784109490816089
2015-09-22,0.0011811190617196932
2015-09-23,-0.002681116688264762
2015-09-24,-0.005484302226726689
2015-09-25,-0.016003482939242586
2015-09-28,0.0040659948840424676
2015-09-29,0.018277061896573743
2015-09-30,0.003332130899860175
2015-10-01,-0.001928467266515188
2015-10-02,0.008157374853148047
2015-10-05,0.008836444801046728
