Date,CSGP
2015-09-03,0.020620953521351515
2015-09-04,-0.01896965069980361
2015-09-08,0.02648748646142529
2015-09-09,-0.011369362091142032
2015-09-10,0.0033260056481776434
2015-09-11,0.007079416131423821
2015-09-14,-0.011771950737538672
2015-09-15,0.01400107874551515
2015-09-16,0.0018372606137349035
2015-09-17,0.005946446261929417
2015-09-18,-0.02403179216485496
2015-09-21,0.01075515284269013
2015-09-22,-0.015009046980528185
2015-09-23,-0.005401371213241024
2015-09-24,-0.018064367700790562
2015-09-25,-0.0030854920136647035
2015-09-28,-0.029082053413779674
2015-09-29,-0.010405409684182687
2015-09-30,0.051844690132632154
2015-10-01,-0.01727723278602955
2015-10-02,0.030399259086962394
2015-10-05,0.02562196990451171
2015-10-06,0.011572925390861633
2015-10-07,0.021506009181626595
