Date,MRNA
2019-08-12,-0.02325577402225487
2019-08-13,0.021505355078864863
2019-08-14,-0.04210529410419184
2019-08-15,-0.005494481639074289
2019-08-16,0.038674014851426186
2019-08-19,0.018237064886088117
2019-08-20,0.055970150847083344
2019-08-21,0.009894017462687144
2019-08-22,-0.009097278851501134
2019-08-23,-0.019773992654552486
2019-08-26,0.07853026971187416
2019-08-27,-0.030728124912603794
2019-08-28,0.021364539011194283
2019-08-29,0.02429153966023967
2019-08-30,0.036231833070057284
2019-09-03,-0.054036837414590644
2019-09-04,0.036290319737898535
2019-09-05,0.007133570436640646
2019-09-06,0.02253705006360396
2019-09-09,0.00944587979367717
2019-09-10,0.06612597757562555
2019-09-11,-0.06846109220875429
2019-09-12,0.030150724870352308
2019-09-13,0.018902406899578006
2019-09-16,0.020347107792712427
