Date,OKE
2015-09-02,0.011448120863524203
2015-09-03,0.009338155999425224
2015-09-04,-0.0075694255127563
2015-09-08,0.02909602846320314
2015-09-09,-0.01619559676438298
2015-09-10,0.008928590745585385
2015-09-11,-0.026825351865017666
2015-09-14,-0.01960776261836128
2015-09-15,0.010144873198534965
2015-09-16,0.03500720180861383
2015-09-17,0.005822001266765575
2015-09-18,-0.01488412127241212
2015-09-21,0.02098496002587691
2015-09-22,0.006029206313391544
2015-09-23,-0.03759205608934735
2015-09-24,-0.014152356987002346
2015-09-25,0.010335736629818681
2015-09-28,-0.062233555616540426
2015-09-29,-0.0648486836989891
2015-09-30,0.04342229753034932
2015-10-01,0.01801218617576361
2015-10-02,0.05552184165899332
2015-10-05,0.06763004967777908
2015-10-06,0.024363933253434666
2015-10-07,0.02721976592687203
