Date,ROK
2015-09-01,-0.0382725298190455
2015-09-02,0.007438858491061184
2015-09-03,-0.0033226961164094515
2015-09-04,-0.016020073080271757
2015-09-08,0.03162069724699057
2015-09-09,-0.03128986219068208
2015-09-10,-0.009793850100402124
2015-09-11,0.007132867489826777
2015-09-14,-0.009065219279595693
2015-09-15,0.015342096583884413
2015-09-16,0.009666350407286695
2015-09-17,-0.01617386313626812
2015-09-18,-0.019368752202276296
2015-09-21,0.0021197432947537287
2015-09-22,-0.008749223593711442
2015-09-23,-0.01648890202162334
2015-09-24,-0.0034515972352906488
2015-09-25,-0.00761999760793286
2015-09-28,-0.0037895133173745377
2015-09-29,0.004604750501058019
2015-09-30,0.011060349760001698
2015-10-01,-0.010939356649310894
2015-10-02,0.02042653366362801
2015-10-05,0.015818621215883732
