Date,CAT
2015-09-01,-0.020146224609568608
2015-09-02,0.016021021415074443
2015-09-03,-0.021681818410767106
2015-09-04,-0.018133038187525208
2015-09-08,0.016415859568641
2015-09-09,-0.01803498673666548
2015-09-10,-0.007401315069401004
2015-09-11,0.0028998567205460457
2015-09-14,0.0019277155714572114
2015-09-15,0.02487263610923729
2015-09-16,0.014213178168664742
2015-09-17,-0.02088891213300781
2015-09-18,-0.029705336707572028
2015-09-21,0.004174935615038899
2015-09-22,-0.006651988588963653
2015-09-23,-0.020647588924221805
2015-09-24,-0.06267782853823534
2015-09-25,-0.012462084054185918
2015-09-28,-0.018313235700051833
2015-09-29,0.008151734928407706
2015-09-30,0.016327221768875022
2015-10-01,-0.014841117242728519
2015-10-02,0.020344904115795037
2015-10-05,0.05296816289956263
2015-10-06,0.02370620717804517
