Date,EXR
2015-09-03,-0.003669816985585439
2015-09-04,-0.025648201752242583
2015-09-08,0.023242529302396342
2015-09-09,-0.016146369047878584
2015-09-10,0.0009737024686791163
2015-09-11,0.022274974097136413
2015-09-14,0.0010963504790988399
2015-09-15,0.024230021739641172
2015-09-16,-0.010558637825533679
2015-09-17,0.01661489982621389
2015-09-18,0.0029233332558642466
2015-09-21,0.014838276537916029
2015-09-22,-0.012793736188810634
2015-09-23,0.009653667282459644
2015-09-24,-0.009692252706534177
2015-09-25,0.00872875356149172
2015-09-28,-0.010489143286612546
2015-09-29,0.015105436550711948
2015-09-30,0.007179441878249815
2015-10-01,-0.009720232850580768
2015-10-02,0.006020242138928156
2015-10-05,0.01769207551813423
2015-10-06,-0.019301894903655636
2015-10-07,-0.005604933210548557
