Date,ATO
2015-09-02,0.0029857675686488783
2015-09-03,-0.005395442524402272
2015-09-04,-0.016834937969194996
2015-09-08,0.021879621671251348
2015-09-09,-0.0022342104644909044
2015-09-10,-0.005784604500606694
2015-09-11,0.015014884175335697
2015-09-14,0.003698237630848089
2015-09-15,0.005895626140322241
2015-09-16,0.01227106154407287
2015-09-17,0.008684422640391487
2015-09-18,-0.00412531104186975
2015-09-21,0.011347380289783215
2015-09-22,0.007657991863565972
2015-09-23,0.0005303051970249051
2015-09-24,0.00476936634127334
2015-09-25,0.0137129281516839
2015-09-28,-0.0010406612989514175
2015-09-29,-0.008680375553440256
2015-09-30,0.018913924949398808
2015-10-01,-0.00618758207153336
2015-10-02,0.019197585489749036
2015-10-05,0.007296730577282862
2015-10-06,-0.01314001839974177
