Date,BLK
2015-09-01,-0.02701062518821551
2015-09-02,0.014372882137753784
2015-09-03,0.005795306128715927
2015-09-04,-0.020049577145663355
2015-09-08,0.024435845630482067
2015-09-09,-0.015459451043993266
2015-09-10,0.015297670272827357
2015-09-11,0.006638263450788662
2015-09-14,-0.007418316145961001
2015-09-15,0.02271936135606878
2015-09-16,0.018220456847424904
2015-09-17,-0.005996450432820821
2015-09-18,-0.00885710038570764
2015-09-21,0.011396905734125662
2015-09-22,-0.025801489264765
2015-09-23,-0.0035157034111455987
2015-09-24,-0.009068370671797776
2015-09-25,0.008219509545075665
2015-09-28,-0.029441006744072906
2015-09-29,-0.001836257854539225
2015-09-30,0.013457437653793036
2015-10-01,-0.005210428121270372
2015-10-02,0.025141446092888486
2015-10-05,0.03378839961296509
