Date,NTAP
2015-09-02,0.010012950491235184
2015-09-03,-0.002558352592102242
2015-09-04,-0.019877830962310328
2015-09-08,0.030094695056669618
2015-09-09,-0.011749684093370516
2015-09-10,0.007712129082938501
2015-09-11,0.007015178125896249
2015-09-14,-0.01393277253480385
2015-09-15,0.033718557587694375
2015-09-16,0.005281284313783274
2015-09-17,-0.004635399329801837
2015-09-18,-0.02638925761659683
2015-09-21,-0.004464561453139559
2015-09-22,-0.03683508757306175
2015-09-23,-0.012304949270132703
2015-09-24,-0.007070482285999491
2015-09-25,0.002712772744885905
2015-09-28,-0.015894578182220065
2015-09-29,-0.005154607745766038
2015-09-30,0.022452678828928097
2015-10-01,-0.012162318658143767
2015-10-02,0.023597683155257565
2015-10-05,0.03207479653804257
2015-10-06,0.014244395115208919
