Date,EXPD
2015-09-02,0.03873384035774152
2015-09-03,-0.015838095680185904
2015-09-04,-0.02505603456194827
2015-09-08,0.0208942634973468
2015-09-09,-0.010642462168343192
2015-09-10,0.0010342092748030218
2015-09-11,0.013225904611983585
2015-09-14,-0.0059146176510670445
2015-09-15,0.0114894172744342
2015-09-16,-0.008722238497972379
2015-09-17,-0.003682953673837197
2015-09-18,-0.04066563158014258
2015-09-21,0.013273475781854671
2015-09-22,-0.02324115826795181
2015-09-23,-0.004542493728888153
2015-09-24,-0.0004345387449424809
2015-09-25,0.017826095931724018
2015-09-28,-0.015805250889118327
2015-09-29,0.009765520060379895
2015-09-30,0.011175479139139854
2015-10-01,0.015090545206527084
2015-10-02,0.0037688218666294127
2015-10-05,0.016896065531868842
2015-10-06,0.002666774584036302
