Date,MMC
2015-09-01,-0.030337079503190645
2015-09-02,0.012667616336262233
2015-09-03,0.0049282855601515685
2015-09-04,-0.01942685893678009
2015-09-08,0.043662196373803086
2015-09-09,-0.010320435200461109
2015-09-10,-0.00186221025813893
2015-09-11,0.009141710825055771
2015-09-14,-0.002403594216485283
2015-09-15,0.012045837014501792
2015-09-16,0.0005497764772550706
2015-09-17,-0.007320363441372324
2015-09-18,-0.021202663733210336
2015-09-21,0.010736809847424533
2015-09-22,-0.014163280324387406
2015-09-23,-0.0007562173260148297
2015-09-24,-0.012674899542639562
2015-09-25,0.008813853888647527
2015-09-28,-0.0210823132953194
2015-09-29,0.004850326682063644
2015-09-30,0.008302740335862646
2015-10-01,-0.002680619983909338
2015-10-02,0.009600243798065344
2015-10-05,0.02263201968459616
