Date,LDOS
2015-09-02,0.023537853089203198
2015-09-03,0.0014525183146454346
2015-09-04,-0.015470161656819581
2015-09-08,0.04173860895192716
2015-09-09,-0.01036997303203413
2015-09-10,0.007382112678830044
2015-09-11,0.0073286729569663756
2015-09-14,-0.013611761588582905
2015-09-15,0.009041252918904341
2015-09-16,0.01909915497167436
2015-09-17,0.003239289095557041
2015-09-18,0.0043820343778022686
2015-09-21,0.005281241820905391
2015-09-22,-0.02375498510600027
2015-09-23,-0.00046804534646838203
2015-09-24,-0.02200366507450957
2015-09-25,0.009813144714398092
2015-09-28,-0.024176450260459004
2015-09-29,0.00024313446797585847
2015-09-30,0.003156682830479207
2015-10-01,0.002662950243516704
2015-10-02,0.01714151535292685
2015-10-05,0.030619256614332402
2015-10-06,0.007600489866357085
