Date,JKHY
2015-09-02,0.023561954509575322
2015-09-03,0.00852027480840345
2015-09-04,-0.015265859434019258
2015-09-08,0.028747479214787486
2015-09-09,-0.009948940444644117
2015-09-10,0.006650270618374643
2015-09-11,0.014386418994035699
2015-09-14,-0.007380606917420041
2015-09-15,0.01457924823076917
2015-09-16,0.007041416693757352
2015-09-17,-0.0011414072709764467
2015-09-18,-0.007000294293064924
2015-09-21,0.007049643874850187
2015-09-22,-0.006286107212775338
2015-09-23,0.0037375982898912863
2015-09-24,-0.0030074064909954012
2015-09-25,0.004597194866638121
2015-09-28,-0.021164298987624397
2015-09-29,0.006427890572752615
2015-09-30,0.010451735753012947
2015-10-01,0.0008617278295433017
2015-10-02,0.017224084309214627
2015-10-05,0.017214473564886257
2015-10-06,-0.0016644045884408598
