Date,AVB
2015-09-02,0.008095311400682093
2015-09-03,0.0
2015-09-04,-0.015938104519248264
2015-09-08,0.013953694501449343
2015-09-09,-0.010075328977153686
2015-09-10,0.004530470458397495
2015-09-11,0.024156399936470674
2015-09-14,-0.005549607326111983
2015-09-15,0.013284451053747981
2015-09-16,0.009219665152410572
2015-09-17,0.007533292143777848
2015-09-18,0.005770142186761307
2015-09-21,0.008721855190898742
2015-09-22,-0.010446002439302604
2015-09-23,0.005219851164031564
2015-09-24,-0.012076285570850831
2015-09-25,0.007735878776265137
2015-09-28,-0.012750932759086453
2015-09-29,0.03330554682981757
2015-09-30,0.011631112078093198
2015-10-01,0.002459341043235863
2015-10-02,0.003138494198829056
2015-10-05,0.007053773503509664
2015-10-06,-0.008303429302489063
2015-10-07,0.006892089136677493
