Date,CEG
2022-09-22,-0.021769091494045933
2022-09-23,-0.01792001144965627
2022-09-26,-0.011091210110461991
2022-09-27,0.012662888965880637
2022-09-28,0.012504266159206079
2022-09-29,-0.023288512152445873
2022-09-30,0.001806490947786843
2022-10-03,0.040870097693927354
2022-10-04,0.03175894046093064
2022-10-05,-0.013096036522575516
2022-10-06,-0.021435840286853303
2022-10-07,-0.021905400963322608
2022-10-10,0.003910610077021648
2022-10-11,-0.021718899673874414
2022-10-12,-0.008687142488009614
2022-10-13,0.020204629093482973
2022-10-14,-0.030541914165270412
2022-10-17,0.04836336966358212
2022-10-18,0.01549472097084248
2022-10-19,-0.009478556133876936
2022-10-20,-0.013187124595943178
2022-10-21,0.03216665129799945
2022-10-24,0.003437107186790911
2022-10-25,0.006508188025462269
