Date,MLM
2015-09-02,0.029501280008189745
2015-09-03,-0.0037967499687421302
2015-09-04,-0.008635719651311935
2015-09-08,0.02120617389903301
2015-09-09,-0.008177122034258133
2015-09-10,0.012870690776483507
2015-09-11,0.004157717330754096
2015-09-14,0.008164254422032391
2015-09-15,0.01278318226184294
2015-09-16,0.008110456877536087
2015-09-17,-0.003286192469712068
2015-09-18,-0.034331905847513555
2015-09-21,0.010006466820308146
2015-09-22,-0.0324608844950558
2015-09-23,-0.027526802470345446
2015-09-24,-0.01090106481635389
2015-09-25,-0.0018787953769859866
2015-09-28,-0.041721494416375404
2015-09-29,-0.028610778634169387
2015-09-30,0.024128744933969992
2015-10-01,0.031392052796005876
2015-10-02,0.040582184549359024
2015-10-05,0.007664758847975239
2015-10-06,-0.030365715287605344
