Date,COF
2015-09-02,0.01318592314357181
2015-09-03,0.011420732422398716
2015-09-04,-0.017463204562033874
2015-09-08,0.026192977532235595
2015-09-09,-0.012110851056774008
2015-09-10,0.0001319286928123109
2015-09-11,-0.002900003242142457
2015-09-14,0.0014540982084561005
2015-09-15,0.00791954508427084
2015-09-16,0.012048346864253379
2015-09-17,-0.017986430189244396
2015-09-18,-0.030702340968181918
2015-09-21,0.013866064200357409
2015-09-22,-0.012067333919344114
2015-09-23,-0.0024428723099371163
2015-09-24,-0.005170411156097177
2015-09-25,0.012719275990332735
2015-09-28,-0.025388684635185732
2015-09-29,-0.008590588205387717
2015-09-30,0.013556786720209324
2015-10-01,0.005791547218207738
2015-10-02,-0.0009596580118711451
2015-10-05,0.033346988205184225
2015-10-06,-0.001061824295351954
