Date,BAC
2015-09-03,0.0056782731545035325
2015-09-04,-0.018193260801110056
2015-09-08,0.03258781128047206
2015-09-09,-0.016088938671513953
2015-09-10,0.008805050737190623
2015-09-11,0.0
2015-09-14,-0.004987426597008682
2015-09-15,0.021929611551954276
2015-09-16,0.0012262340415511996
2015-09-17,-0.028781207480085613
2015-09-18,-0.018915465573609014
2015-09-21,0.008997144969993043
2015-09-22,-0.008279829298299624
2015-09-23,0.009633621712009877
2015-09-24,-0.010814182102964365
2015-09-25,0.021864890044133167
2015-09-28,-0.026431627598717644
2015-09-29,-0.0077568237616320035
2015-09-30,0.014983540023447706
2015-10-01,-0.0019255334873992114
2015-10-02,-0.010932710163980452
2015-10-05,0.020156078038559677
2015-10-06,0.0
2015-10-07,0.0038243688379933083
2015-10-08,0.0
