Date,ETR
2015-09-01,-0.034747150638330004
2015-09-02,-0.004757296993759708
2015-09-03,0.003664701062993325
2015-09-04,-0.02317812775465311
2015-09-08,0.013976827697931293
2015-09-09,-0.008014034776846257
2015-09-10,0.002261937647294987
2015-09-11,0.010479146188099309
2015-09-14,0.002393068281951072
2015-09-15,0.006366220625445118
2015-09-16,0.011386956614435784
2015-09-17,0.007349483804736989
2015-09-18,-0.002638912395796056
2015-09-21,-0.004980662556117399
2015-09-22,0.001720733502027505
2015-09-23,-0.007807463749677113
2015-09-24,0.0007865970467768602
2015-09-25,0.015725873728394735
2015-09-28,-0.0082054769781712
2015-09-29,0.004214870429869455
2015-09-30,0.011969446136922413
2015-10-01,-0.010599182033679821
2015-10-02,0.02297792668851284
2015-10-05,0.016391062533332335
2015-10-06,-0.012841482465718257
