Date,NSC
2015-09-02,0.01096289546018503
2015-09-03,0.008100549583413219
2015-09-04,-0.008164988416589414
2015-09-08,0.02822420014847249
2015-09-09,0.0031773304545545944
2015-09-10,0.0012666924094455467
2015-09-11,0.0016447953415190675
2015-09-14,-0.006063172715984
2015-09-15,0.023255736149661477
2015-09-16,0.014530605362681914
2015-09-17,-0.007099841477617774
2015-09-18,-0.026630995921140932
2015-09-21,0.007853575230976961
2015-09-22,-0.026894666902047337
2015-09-23,-0.014077482130387953
2015-09-24,-0.008514046233395023
2015-09-25,-0.000924881670920974
2015-09-28,-0.012694998808557734
2015-09-29,0.0033482059229128502
2015-09-30,0.019890721493562857
2015-10-01,0.012172687949836503
2015-10-02,0.021725074057916682
2015-10-05,0.01227680709719059
2015-10-06,-0.00687674859116405
