Date,QCOM
2015-09-02,0.01526747272537654
2015-09-03,-0.005549681728180933
2015-09-04,-0.022682432397410968
2015-09-08,0.01676178814737339
2015-09-09,-0.01594198654625223
2015-09-10,0.018593681984980126
2015-09-11,-0.012109500958045749
2015-09-14,-0.0064031606965258
2015-09-15,0.010311192231718058
2015-09-16,0.006014280348502377
2015-09-17,-0.003985428004330216
2015-09-18,-0.009639793544033992
2015-09-21,-0.0011022942415005454
2015-09-22,-0.008273264970530603
2015-09-23,-0.0070449877565605945
2015-09-24,-0.0054144323055909105
2015-09-25,-0.0009384838398620587
2015-09-28,-0.012777438828774468
2015-09-29,-0.0020936015648171935
2015-09-30,0.024795078038418072
2015-10-01,-0.010236351202683402
2015-10-02,0.03553951228334262
2015-10-05,0.021064067356731053
2015-10-06,0.0016006518312767781
