Date,TKO
2015-09-04,-0.03137876116261873
2015-09-08,0.04036118860812499
2015-09-09,-0.005615055754884635
2015-09-10,0.0035930847932819088
2015-09-11,0.020072312540942105
2015-09-14,0.005549652954013329
2015-09-15,-0.03963838342711279
2015-09-16,-0.0047028718362351896
2015-09-17,0.0
2015-09-18,-0.044093910220688204
2015-09-21,-0.0027459923851848034
2015-09-22,-0.015418496337753163
2015-09-23,-0.015659826281926748
2015-09-24,0.002840916541192451
2015-09-25,-0.029461945492963215
2015-09-28,-0.035026239816325466
2015-09-29,0.004839512719294392
2015-09-30,0.01745958537131931
2015-10-01,0.016567975538489987
2015-10-02,0.0069848089329100915
2015-10-05,0.03757280640019789
2015-10-06,0.0011138291380101695
2015-10-07,0.044518823672082375
2015-10-08,0.04155514673207228
