Date,COO
2015-09-02,0.018756474706415283
2015-09-03,-0.006711708841188879
2015-09-04,-0.06472015291351607
2015-09-08,-0.012924975624198365
2015-09-09,-0.0008730368347635853
2015-09-10,-0.0014786273012626916
2015-09-11,0.007336690345469021
2015-09-14,-0.01242805991461926
2015-09-15,0.005344729133748727
2015-09-16,0.009018270794413308
2015-09-17,0.0040685457793476765
2015-09-18,0.016208137609185158
2015-09-21,0.012289349350473655
2015-09-22,-0.002712125476201366
2015-09-23,0.0037553365569442665
2015-09-24,-0.007224706771472689
2015-09-25,-0.026250763461632687
2015-09-28,-0.03403194500491058
2015-09-29,0.0036614595086803536
2015-09-30,0.02457147715046326
2015-10-01,-0.014645000051859092
2015-10-02,0.014930821997684474
2015-10-05,-0.004634759567226698
2015-10-06,-0.023417567885280044
