Date,MCK
2015-09-02,0.0062315858461086115
2015-09-03,-0.010304419196715653
2015-09-04,-0.011027620454860387
2015-09-08,0.013328314598423319
2015-09-09,-0.012999211788066733
2015-09-10,0.011718709265815752
2015-09-11,0.012967088801375537
2015-09-14,-0.005211548275879663
2015-09-15,0.01932764196798553
2015-09-16,0.019110863554838264
2015-09-17,0.0022522451630118123
2015-09-18,-0.004738525499127899
2015-09-21,-0.011927635440817541
2015-09-22,-0.011525189226582744
2015-09-23,-0.003819503641808053
2015-09-24,-0.004943744316053711
2015-09-25,-0.02540071589944115
2015-09-28,-0.04146063986665427
2015-09-29,0.0027679747265416665
2015-09-30,0.0014071539768849561
2015-10-01,0.005620706707743173
2015-10-02,0.0025257762325794353
2015-10-05,0.01699390784769106
2015-10-06,-0.030098694585847796
