Date,TMO
2015-09-01,-0.03126750577183257
2015-09-02,0.01095101438748669
2015-09-03,-8.152254943150083e-05
2015-09-04,-0.013032448363989313
2015-09-08,0.020797327049071557
2015-09-09,-0.016735452082951574
2015-09-10,0.00337126803916199
2015-09-11,0.008368722902522219
2015-09-14,-0.00602096666073515
2015-09-15,0.023984953046036983
2015-09-16,0.0095130258427929
2015-09-17,0.015441894546420754
2015-09-18,-0.019106257329566723
2015-09-21,0.0043727274961842255
2015-09-22,-0.008548862966441195
2015-09-23,-0.005029825668337318
2015-09-24,-0.00497553632721448
2015-09-25,-0.01088703310945216
2015-09-28,-0.0368527812583872
2015-09-29,0.01447560210165566
2015-09-30,0.020360399907125126
2015-10-01,-0.0014721082650279715
2015-10-02,0.019574293389017505
2015-10-05,0.016547584919808234
