Date,LNT
2015-09-01,-0.02735108556558319
2015-09-02,0.00018142310473256984
2015-09-03,0.004534849284754561
2015-09-04,-0.01498760850368841
2015-09-08,0.0192483832031487
2015-09-09,-0.010611462891556012
2015-09-10,-0.0030903603626524223
2015-09-11,0.00747651634413482
2015-09-14,0.0027151314619153766
2015-09-15,0.003609652625288673
2015-09-16,0.010971550982129097
2015-09-17,0.015477364366184743
2015-09-18,-0.0057810196569434424
2015-09-21,0.007048119210360637
2015-09-22,-0.007873867360003062
2015-09-23,0.0014109405704600952
2015-09-24,0.010214814876582379
2015-09-25,0.010808880474533877
2015-09-28,0.001034754227699164
2015-09-29,-0.005168602378792353
2015-09-30,0.012989134661123947
2015-10-01,-0.015387398969073374
2015-10-02,0.013544167137210517
2015-10-05,0.010107885366416491
