Date,FICO
2015-09-03,0.010684263910975655
2015-09-04,-0.019717288201848926
2015-09-08,0.02920156801877072
2015-09-09,-0.014245515443097156
2015-09-10,-0.0011943140796035756
2015-09-11,0.005620079552936863
2015-09-14,-0.0027354728532887895
2015-09-15,0.004651054334319449
2015-09-16,-0.02148627045940177
2015-09-17,0.010918344334326369
2015-09-18,-0.013560515100132897
2015-09-21,0.016180090439550154
2015-09-22,-0.007183162506159357
2015-09-23,-0.004220341132499139
2015-09-24,0.0048438343657066785
2015-09-25,-0.006989624632121938
2015-09-28,-0.008252311322875183
2015-09-29,0.013460560540792477
2015-09-30,0.0202849075783631
2015-10-01,0.005325437957368839
2015-10-02,-0.010947700225037105
2015-10-05,0.02142344909385585
2015-10-06,0.0020976247181176966
2015-10-07,0.014999881439658358
