Date,LIN
2015-09-01,-0.03186765320472629
2015-09-02,0.005567366756433323
2015-09-03,0.007580885471542231
2015-09-04,-0.015241350809686804
2015-09-08,0.027898227855634783
2015-09-09,0.0002878439346984951
2015-09-10,0.008532931821888745
2015-09-11,-0.003992754904075135
2015-09-14,-0.003436080774714134
2015-09-15,0.012355206437665078
2015-09-16,0.016556134733062278
2015-09-17,-0.0037225303458318093
2015-09-18,-0.017935452483553327
2015-09-21,0.001141524472679567
2015-09-22,-0.01729235810514118
2015-09-23,-0.026974496542346516
2015-09-24,0.0035768163109546336
2015-09-25,-0.0007921051984840499
2015-09-28,-0.017340305132431233
2015-09-29,0.013915609496342851
2015-09-30,0.013027988450551531
2015-10-01,-0.004417761808979348
2015-10-02,0.0171581641079106
2015-10-05,0.030925692290564966
