Date,EXE
2021-10-12,-0.01004303587772537
2021-10-13,-0.0008051039015791739
2021-10-14,0.03158755095013466
2021-10-15,-0.019684482150998384
2021-10-18,0.007011790156969511
2021-10-19,-0.02168055858780893
2021-10-20,0.00792624928602148
2021-10-21,-0.014122980446552802
2021-10-22,0.010418452247275445
2021-10-25,0.09150961995350593
2021-10-26,-0.0025091950870251845
2021-10-27,-0.020272252990798267
2021-10-28,0.001057163475348677
2021-10-29,-0.038322281431187655
2021-11-01,0.03216183708567133
2021-11-02,-0.006383898192688364
2021-11-03,0.033348597294482474
2021-11-04,-0.028867324645587056
2021-11-05,0.0033537221139248174
2021-11-08,0.0060769490341410215
2021-11-09,0.01736648608844371
2021-11-10,-0.06338143235307181
2021-11-11,0.021236057696336852
2021-11-12,-0.023587605486018015
