Date,CF
2015-09-02,0.012947122078579953
2015-09-03,0.0255625470710803
2015-09-04,-0.026154230468465767
2015-09-08,0.025775144086547686
2015-09-09,0.0008786048941704649
2015-09-10,-0.009831382459140059
2015-09-11,-0.009219937361222397
2015-09-14,-0.03632787227297063
2015-09-15,0.017270305591181145
2015-09-16,0.0
2015-09-17,-0.01697710578619982
2015-09-18,-0.03379759892977763
2015-09-21,-0.005958074717325568
2015-09-22,-0.011987864803757686
2015-09-23,-0.06575281981572201
2015-09-24,-0.027650640463609877
2015-09-25,-0.0010766095122090036
2015-09-28,-0.04981689331916461
2015-09-29,0.002950719887520048
2015-09-30,0.016066863936185394
2015-10-01,-0.002227346595729096
2015-10-02,0.05156272443071419
2015-10-05,0.040967816178084204
2015-10-06,0.010399762164223336
