Date,KMI
2015-09-02,-0.0025485820955089
2015-09-03,-0.0073459956723448405
2015-09-04,-0.00997395614959351
2015-09-08,0.010399736814970195
2015-09-09,-0.014474103033866759
2015-09-10,-0.004569189192354384
2015-09-11,-0.013114750038003664
2015-09-14,-0.007973523997694021
2015-09-15,0.011051782507481178
2015-09-16,0.016561351473674213
2015-09-17,0.004561849059092404
2015-09-18,-0.01459627316509804
2015-09-21,0.009545753785385136
2015-09-22,-0.018258474388843315
2015-09-23,-0.03487243453369138
2015-09-24,0.00963566965467022
2015-09-25,0.0027262224471784613
2015-09-28,-0.06356230277203756
2015-09-29,-0.050453606256858685
2015-09-30,0.058104209187955336
2015-10-01,0.01625710617278564
2015-10-02,0.05332372970815502
2015-10-05,0.04454975709229725
2015-10-06,0.026817639987067876
