Date,CL
2015-09-02,0.01485241117957159
2015-09-03,0.011900929734217858
2015-09-04,-0.023204040025222583
2015-09-08,0.03205330284409391
2015-09-09,-0.016396058441802697
2015-09-10,-0.007373039783700297
2015-09-11,-0.0001614063552078937
2015-09-14,0.0030686168698270677
2015-09-15,0.005152051237123922
2015-09-16,0.01025159611836357
2015-09-17,0.0031710001733138427
2015-09-18,-0.009167182882339087
2015-09-21,0.006540278129611554
2015-09-22,-0.014896982321538799
2015-09-23,-0.0009651647479158587
2015-09-24,0.0024151653665331896
2015-09-25,0.014297592178849294
2015-09-28,-0.015521252508851058
2015-09-29,0.014639675962683674
2015-09-30,0.006183435054560205
2015-10-01,0.004096982086060796
2015-10-02,0.00878862448201545
2015-10-05,0.016645612690209255
2015-10-06,-0.00856911932478377
2015-10-07,0.00864318379809581
