Date,DPZ
2015-09-02,0.012807059861147163
2015-09-03,-0.0002856931052973577
2015-09-04,0.003328863419481687
2015-09-08,0.03317512588505589
2015-09-09,-0.0075227173426425376
2015-09-10,-0.002311059507954849
2015-09-11,0.024159375634437374
2015-09-14,0.0006350001953847606
2015-09-15,0.013872656669985828
2015-09-16,-0.0017886510507850728
2015-09-17,0.008779714882963363
2015-09-18,-0.00817080055834385
2015-09-21,-0.005819836212530127
2015-09-22,-0.0014409494780357468
2015-09-23,0.0009017591798274882
2015-09-24,-0.006127767267241846
2015-09-25,0.024118230805970864
2015-09-28,-0.03904372523408106
2015-09-29,-0.02459934101696415
2015-09-30,0.01926894761162279
2015-10-01,-0.02390878362982951
2015-10-02,0.01471564583796181
2015-10-05,0.013753627621517772
2015-10-06,-0.010059756162928979
