Date,PCG
2015-09-03,0.007719666660382929
2015-09-04,-0.01449275362318836
2015-09-08,0.024789995212074478
2015-09-09,-0.017835190263484124
2015-09-10,-0.004383209637549901
2015-09-11,0.01551377642963625
2015-09-14,0.001032283649061272
2015-09-15,0.006392963069507207
2015-09-16,0.009836056426429929
2015-09-17,0.016436605152186923
2015-09-18,0.008784036948865426
2015-09-21,0.012863815104641851
2015-09-22,0.005275498761273978
2015-09-23,0.01068992599029106
2015-09-24,0.008461551583307747
2015-09-25,0.009153074670726458
2015-09-28,-0.008672139624909425
2015-09-29,0.0
2015-09-30,0.01518946785547537
2015-10-01,-0.004166637616558666
2015-10-02,0.007987588277319713
2015-10-05,0.00867929182078453
2015-10-06,-0.006547010742927739
2015-10-07,-0.007154906108559955
2015-10-08,0.006827306495524876
