Date,MA
2015-09-02,0.015497009356257196
2015-09-03,0.013491049183622206
2015-09-04,-0.01222033390619559
2015-09-08,0.026179017338944455
2015-09-09,-0.03153937507721327
2015-09-10,-0.003223254639458828
2015-09-11,0.018622002709206997
2015-09-14,-0.0044880744347983725
2015-09-15,0.01286574131511431
2015-09-16,0.006730635969379506
2015-09-17,0.005176563794435873
2015-09-18,-0.011372330025918198
2015-09-21,0.009766707279187381
2015-09-22,-0.010531802545513669
2015-09-23,0.0007600774972691404
2015-09-24,-0.01107001916431749
2015-09-25,0.0019754214448863827
2015-09-28,-0.032311095005258195
2015-09-29,0.004640471057856477
2015-09-30,0.015322183346977436
2015-10-01,0.006768999255134078
2015-10-02,0.014769197289879576
2015-10-05,0.02454634800105082
2015-10-06,-0.0043464628848501885
