Date,CMS
2015-09-02,0.004361497479762555
2015-09-03,0.0077543296298538955
2015-09-04,-0.008310568360901605
2015-09-08,0.013035446870834466
2015-09-09,-0.012561172818689514
2015-09-10,0.0006203206542891859
2015-09-11,0.013023637721455428
2015-09-14,0.0003059440218413645
2015-09-15,0.006732064008469374
2015-09-16,0.010030220909236887
2015-09-17,0.016852272930385492
2015-09-18,-0.003255495803946351
2015-09-21,0.005344422816413674
2015-09-22,-0.008564702410394087
2015-09-23,0.005659752970698317
2015-09-24,0.013625840590894
2015-09-25,0.010519947831201693
2015-09-28,-0.002602073210566047
2015-09-29,0.00028950396964866343
2015-09-30,0.02376799510800831
2015-10-01,-0.011041575804090042
2015-10-02,0.019467558192970413
2015-10-05,0.003650478903890031
2015-10-06,-0.001958575346842961
