Date,TJX
2015-09-01,-0.013225497067509306
2015-09-02,0.020896285410267446
2015-09-03,0.008469577790923388
2015-09-04,-0.0095185129114157
2015-09-08,0.02232908983963644
2015-09-09,-0.017693746714008585
2015-09-10,0.0060508011162165865
2015-09-11,0.004336433347372548
2015-09-14,-0.008217523807364957
2015-09-15,-0.0033704378251389056
2015-09-16,0.008454744354102317
2015-09-17,0.013553190247224345
2015-09-18,-0.016267266894697485
2015-09-21,0.008548571198741639
2015-09-22,-0.010421322290335877
2015-09-23,-0.0008425371998757036
2015-09-24,0.0009839836433931382
2015-09-25,-0.003790546507718262
2015-09-28,-0.02635295234724666
2015-09-29,0.0056449162096503525
2015-09-30,0.027921255465344297
2015-10-01,-0.0086803281711344
2015-10-02,0.008191642373035934
2015-10-05,0.0021015295084507724
