Date,XOM
2015-09-01,-0.04199889402850121
2015-09-02,0.01595414996896105
2015-09-03,0.007647502137213769
2015-09-04,-0.01802413817106352
2015-09-08,0.014352452747591782
2015-09-09,-0.02040825433303084
2015-09-10,0.007222321281570521
2015-09-11,0.0023444131872172314
2015-09-14,-0.0027512981789398205
2015-09-15,0.005103948142878512
2015-09-16,0.01976414152858741
2015-09-17,0.0021529815874472558
2015-09-18,-0.023905329800169794
2015-09-21,0.009768950004681809
2015-09-22,-0.00885677234004345
2015-09-23,-0.006049066294958161
2015-09-24,0.0059476015501465085
2015-09-25,0.006874503193373016
2015-09-28,-0.00860308000309351
2015-09-29,0.005096701229547529
2015-09-30,0.018911811737646778
2015-10-01,-0.003900694638423574
2015-10-02,0.024574730030753278
2015-10-05,0.012256274074465612
