Date,MAA
2015-09-02,0.007355872877544023
2015-09-03,-0.00256216352000338
2015-09-04,-0.023118289996813868
2015-09-08,0.0038127767372262422
2015-09-09,-0.012049735664852679
2015-09-10,0.008086831503359537
2015-09-11,0.021435863262222243
2015-09-14,0.002060176226270416
2015-09-15,0.010535872876058727
2015-09-16,0.01513025777966348
2015-09-17,0.014654551740083566
2015-09-18,0.0025919513635821456
2015-09-21,0.005540676246026388
2015-09-22,-0.015795686719936586
2015-09-23,0.020403600937773048
2015-09-24,-0.015362111180237892
2015-09-25,-0.0014861293812018506
2015-09-28,-0.0163690786689501
2015-09-29,0.020802110507234683
2015-09-30,0.011115230946838306
2015-10-01,0.010992909016078523
2015-10-02,0.016793686621012993
2015-10-05,0.0007126929708172192
2015-10-06,-0.01591083146781147
