Date,DDOG
2020-05-22,0.04507084780924275
2020-05-26,-0.027929913608389145
2020-05-27,-0.05887324373487013
2020-05-28,0.0046392930261829335
2020-05-29,0.06167137731318251
2020-06-01,-0.024975429537501537
2020-06-02,0.01899553511876606
2020-06-03,0.02937440902089472
2020-06-04,-0.015502774905749916
2020-06-05,-0.015328852304558716
2020-06-08,0.0832153544958143
2020-06-09,-0.03658221868651412
2020-06-10,0.0612965066911364
2020-06-11,-0.028239190188439012
2020-06-12,0.0262984867816356
2020-06-15,0.04445859648471129
2020-06-16,0.005765471541430589
2020-06-17,0.012806477364500468
2020-06-18,0.043473031918964455
2020-06-19,0.001615688253699954
2020-06-22,0.025578997549082327
2020-06-23,0.0076395943023912505
2020-06-24,-0.013267949704691695
2020-06-25,0.012429361289503893
