Date,PRU
2015-09-02,0.02359927903232295
2015-09-03,0.0008868552941465602
2015-09-04,-0.024173975583714924
2015-09-08,0.03618630108657506
2015-09-09,-0.017523769244800702
2015-09-10,0.005860603040242385
2015-09-11,0.0005064450158562828
2015-09-14,-0.006076193378167782
2015-09-15,0.024837129811208447
2015-09-16,0.005220171052179978
2015-09-17,-0.0332591684707797
2015-09-18,-0.030182908566858013
2015-09-21,0.017407512396086622
2015-09-22,-0.016979901339720715
2015-09-23,0.005142045658756089
2015-09-24,-0.0026234250106925705
2015-09-25,0.016046326911924202
2015-09-28,-0.03508108695884771
2015-09-29,0.006037163523229694
2015-09-30,0.01626894419065672
2015-10-01,0.0011811430012200752
2015-10-02,-0.011795651644143423
2015-10-05,0.024933556385063005
2015-10-06,-0.007375961817729593
