Date,DVN
2015-09-03,0.0027014847863537916
2015-09-04,-0.016899802356809435
2015-09-08,0.00896882153921652
2015-09-09,-0.019999976980548007
2015-09-10,0.007558836218882314
2015-09-11,-0.022892971241953664
2015-09-14,0.0018022136168389657
2015-09-15,0.006681733980996585
2015-09-16,0.047995998698241005
2015-09-17,-0.0058461244070731055
2015-09-18,-0.025239296762714858
2015-09-21,0.013825980732889542
2015-09-22,-0.020580224685902593
2015-09-23,-0.03417674327073106
2015-09-24,0.011795160939097604
2015-09-25,-0.0033679809780885472
2015-09-28,-0.044709991770163104
2015-09-29,-0.008707720442495459
2015-09-30,0.018117201169801644
2015-10-01,0.017794221153126788
2015-10-02,0.07867567622400884
2015-10-05,0.05402759689700409
2015-10-06,0.01933824875123724
2015-10-07,0.0025144363132922898
