Date,STT
2015-09-03,0.008896084489034672
2015-09-04,-0.019874288146747077
2015-09-08,0.03127251576822143
2015-09-09,-0.013292826668227509
2015-09-10,0.005051956014103132
2015-09-11,-0.0013963654068088749
2015-09-14,-0.0030760164012682
2015-09-15,0.008836052177786602
2015-09-16,0.002224414935096064
2015-09-17,-0.008323006995786475
2015-09-18,-0.034830067971678313
2015-09-21,0.012173821939438723
2015-09-22,-0.017611481150463626
2015-09-23,-0.0007289971530004546
2015-09-24,-0.012106046045240348
2015-09-25,0.014911914784872637
2015-09-28,-0.03418681242607824
2015-09-29,0.008630023349262217
2015-09-30,0.008856088560885711
2015-10-01,-0.0014879366673725691
2015-10-02,0.00014919550750414068
2015-10-05,0.023092739689824615
2015-10-06,-0.008154951784944964
2015-10-07,0.01336089159571352
