Date,AKAM
2015-04-20,0.021696766696621905
2015-04-21,0.02504769929508588
2015-04-22,0.009561667491748915
2015-04-23,0.003288608406204263
2015-04-24,-0.006948981285225475
2015-04-27,0.017164022820492786
2015-04-28,-0.012590877585356042
2015-04-29,-0.012357071712598033
2015-04-30,-0.01796883433347496
2015-05-01,0.01192741796384289
2015-05-04,0.005893313560537905
2015-05-05,0.0034620791146895424
2015-05-06,-0.004246280417097847
2015-05-07,0.0026652045016273274
2015-05-08,0.015816088187042165
2015-05-11,-0.004317700245152767
2015-05-12,-0.0017082425233185816
2015-05-13,0.0019744836576101044
2015-05-14,0.029427191052881385
2015-05-15,-0.005104664660072311
2015-05-18,-0.0002564987596361812
2015-05-19,-0.008211436612791667
2015-05-20,-0.005045270042063343
2015-05-21,0.009491557570926235
2015-05-22,0.0002576542068288834
2015-05-26,-0.009399991276201392
2015-05-27,0.010529020608092354
2015-05-28,-0.009132995934947763
2015-05-29,-0.009866313751451528
2015-06-01,-0.01363568024002737
2015-06-02,0.0030572340459409375
2015-06-03,0.007421118014683037
2015-06-04,-0.011575865460107582
2015-06-05,0.0013308287853788237
2015-06-08,-0.004651760819488704
2015-06-09,-0.02657227774052562
2015-06-10,0.02345677707380589
2015-06-11,-0.007505663503721394
2015-06-12,-0.008237685148037022
2015-06-15,-0.012799597088197667
2015-06-16,0.004827565160290925
2015-06-17,-0.0005490860173669176
2015-06-18,0.006317801124803957
2015-06-19,-0.013375129963675292
2015-06-22,0.00995990056141327
2015-06-23,-0.0106834509858178
2015-06-24,-0.01246021714039569
2015-06-25,0.0005607866886374602
2015-06-26,-0.0033628342991139926
2015-06-29,-0.02741455115336011
2015-06-30,0.009251219815339606
2015-07-01,0.00787744276943303
2015-07-02,-0.006536863244544944
2015-07-06,-0.002145637505669429
2015-07-07,0.005017179807959238
2015-07-08,-0.017829125504463916
2015-07-09,0.0063898117558265355
2015-07-10,0.009812413783992335
2015-07-13,0.02414968177969201
2015-07-14,0.008650798973379725
2015-07-15,-0.0031816759444001086
2015-07-16,0.00791007097052332
2015-07-17,0.0012392120430779752
2015-07-20,0.010451074305181551
2015-07-21,-0.012656508746444195
2015-07-22,0.0027566773236316067
2015-07-23,0.010446764759181715
2015-07-24,-0.01346762977001903
2015-07-27,-0.012272468709960016
2015-07-28,0.028200535389027337
2015-07-29,-0.005974235333201516
2015-07-30,0.023903838572389313
2015-07-31,0.023345784703491246
2015-08-03,-0.012514653838224032
2015-08-04,-0.001848176761035436
2015-08-05,0.005554796528963513
2015-08-06,-0.021175860005274272
2015-08-07,0.0014781055234891483
2015-08-10,0.006440404733602856
2015-08-11,-0.02732972928109867
2015-08-12,0.013157882353605599
2015-08-13,-0.0010822758798213483
2015-08-14,-0.006365027283559366
2015-08-17,0.0027258680762622944
2015-08-18,0.0038058825670563845
2015-08-19,-0.010697372130673455
2015-08-20,-0.044894591964177555
2015-08-21,-0.024935481430328865
2015-08-24,-0.02233986261034948
2015-08-25,-0.013379426256197924
2015-08-26,0.03870182876466699
2015-08-27,0.034179285516192204
2015-08-28,0.019858177672041233
2015-08-31,-0.008205896450124484
2015-09-01,-0.012340447111849895
