Date,LW
2017-07-17,0.007789489830731133
2017-07-18,0.0031825314557329953
2017-07-19,0.005665021122600589
2017-07-20,-0.0022532052393668955
2017-07-21,0.016260139050945144
2017-07-24,-0.005555687517874275
2017-07-25,0.020782470257013408
2017-07-26,-0.030648164744544015
2017-07-27,-0.009485258135669916
2017-07-28,-0.0009117532430944486
2017-07-31,0.003651219325381483
2017-08-01,0.0013643355266010904
2017-08-02,-0.0020983732607403605
2017-08-03,-0.012339929403839767
2017-08-04,0.009254812913475297
2017-08-07,0.00550222182401261
2017-08-08,-0.006839777306596351
2017-08-09,-0.0011479928548049356
2017-08-10,0.019076078581021116
2017-08-11,0.010599825270958263
2017-08-14,0.0
2017-08-15,0.0046865766366630535
2017-08-16,0.007552170707692429
2017-08-17,0.00022046877537063025
