Date,WDC
2015-09-02,0.008701087909672944
2015-09-03,0.008009834521302217
2015-09-04,-0.02176044242399111
2015-09-08,0.048487878569512644
2015-09-09,-0.017997750759912945
2015-09-10,-0.013957943939409079
2015-09-11,-0.008739316478785564
2015-09-14,0.0013658793524473634
2015-09-15,0.0012398940370998979
2015-09-16,0.005202034793734711
2015-09-17,-0.005298294003735493
2015-09-18,-0.06020073299386419
2015-09-21,0.005140796794874891
2015-09-22,-0.05520625904253906
2015-09-23,-0.008466053852903554
2015-09-24,-0.0005600099424046823
2015-09-25,-0.013025463933962644
2015-09-28,-0.03150250934459797
2015-09-29,0.01641012325401192
2015-09-30,0.1534778071880869
2015-10-01,-0.01951173185612265
2015-10-02,0.019900015624928935
2015-10-05,0.033987849407980164
2015-10-06,0.010713321410143362
2015-10-07,0.017706596529131424
