Date,EFX
2015-09-01,-0.027170362577051854
2015-09-02,0.024569178212351384
2015-09-03,0.007481061426580782
2015-09-04,-0.013223425931035093
2015-09-08,0.02504916117928846
2015-09-09,-0.00945289262487825
2015-09-10,-0.006497737116624602
2015-09-11,0.001430459619627067
2015-09-14,-0.001734395713350101
2015-09-15,0.016354954452483028
2015-09-16,-0.0021121453451009575
2015-09-17,-0.008667519938982848
2015-09-18,-0.013420111306870597
2015-09-21,0.011129143666962715
2015-09-22,-0.003974744147388076
2015-09-23,0.004297858788335329
2015-09-24,-0.007743040632625764
2015-09-25,0.0006158773966462583
2015-09-28,-0.02175488064830311
2015-09-29,0.004930396112446056
2015-09-30,0.014404739934176014
2015-10-01,0.012348478100682625
2015-10-02,0.00955474389698896
2015-10-05,0.016411678813413877
