Date,UNP
2015-09-03,0.006932104210741086
2015-09-04,-0.010734978190802935
2015-09-08,0.036329233235367964
2015-09-09,-0.010357413630422863
2015-09-10,0.0017248711995740962
2015-09-11,-0.011251475919156428
2015-09-14,-0.004528263124644827
2015-09-15,0.026245135432870326
2015-09-16,0.02057297285634152
2015-09-17,-0.0007798183806480008
2015-09-18,-0.021622386754513445
2015-09-21,0.0053540542025134474
2015-09-22,-0.01790388471405724
2015-09-23,-0.011422616324741286
2015-09-24,-0.009920480839395118
2015-09-25,0.020747471560298214
2015-09-28,-0.018709366039235675
2015-09-29,0.018595239808062436
2015-09-30,0.021490606721995764
2015-10-01,0.022508657196490756
2015-10-02,0.016593165886930494
2015-10-05,0.0196948048366703
2015-10-06,-0.003414705344039648
2015-10-07,0.018417602941059874
