Date,BBY
2015-09-03,0.007960683845108507
2015-09-04,-0.00272361495704343
2015-09-08,0.02949210503689126
2015-09-09,-0.004774192222186557
2015-09-10,-0.005330578407947262
2015-09-11,0.024804645411018678
2015-09-14,0.01236505401240251
2015-09-15,-0.00025977910517993585
2015-09-16,0.012737033902772144
2015-09-17,-0.018737216000990875
2015-09-18,-0.018310076332253677
2015-09-21,0.0007992799806950668
2015-09-22,-0.01570812462107718
2015-09-23,-0.0032459850947791358
2015-09-24,-0.006512892415269422
2015-09-25,-0.002185269643722676
2015-09-28,-0.02764860298447036
2015-09-29,0.0126692383816982
2015-09-30,0.031970859938907026
2015-10-01,0.0010774778544637709
2015-10-02,0.016684670525043632
2015-10-05,-0.0026469222169538398
2015-10-06,-0.00955396623353788
2015-10-07,-0.0008040662386635811
