Date,WM
2015-09-01,-0.014982187062649421
2015-09-02,0.009531524451752205
2015-09-03,0.010044183251266325
2015-09-04,-0.006961562815217315
2015-09-08,0.015421859689066064
2015-09-09,-0.011242503043232155
2015-09-10,0.0011056850470267943
2015-09-11,0.004016290888007257
2015-09-14,-0.002200183347081608
2015-09-15,0.005211749889389328
2015-09-16,0.00019915202441467272
2015-09-17,-0.0017943915309041047
2015-09-18,-0.0035948674778948364
2015-09-21,0.004409885573262606
2015-09-22,-0.004789604084015631
2015-09-23,0.0016042796505371104
2015-09-24,-0.003003194870556447
2015-09-25,0.011445926498843129
2015-09-28,-0.011713420096774452
2015-09-29,-0.01124961557002735
2015-09-30,0.01198700746690018
2015-10-01,0.0058221165201379765
2015-10-02,0.00858299393276818
2015-10-05,0.018404849993493233
