Date,SW
2016-07-12,0.0
2016-07-13,0.010733718547988103
2016-07-14,0.006194509346118426
2016-07-15,0.0
2016-07-18,0.015831084532920148
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-06,0.13549782394049648
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.009506075186889174
2016-09-30,0.0
2016-10-03,0.0
2016-10-04,-0.16660280776558323
2016-10-05,0.0
2016-10-06,0.002287043238885733
2016-10-07,0.0
2016-10-10,0.0
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,0.0
2016-10-14,0.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-14,-0.009584638102073217
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-25,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-05,0.0
2016-12-06,0.023502091563240457
2016-12-07,0.0
2016-12-08,0.06708699113004912
2016-12-09,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,-0.03924026705327277
2016-12-15,0.0
2016-12-16,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.07202440988575498
2017-01-06,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.056943767766092
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.030620271289520273
2017-01-23,0.02406915047617919
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-30,0.0
2017-01-31,-0.03856030698314428
2017-02-01,-0.004201772739073739
2017-02-02,0.0
2017-02-03,0.0
2017-02-06,0.0
2017-02-07,0.020329834831106064
2017-02-08,0.0
2017-02-09,-0.009398448859162523
2017-02-10,0.016698471124166225
2017-02-13,0.0
2017-02-14,-0.0070924207910118
2017-02-15,0.010526412096635518
2017-02-16,0.01822905455181756
2017-02-17,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,-0.022287081858060387
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,-0.00896854536268954
2017-03-03,0.013951512337757155
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,-0.009668992370697072
2017-03-10,-0.00037516009348503854
2017-03-13,0.013898913549164504
2017-03-14,0.0
2017-03-15,-0.011856129156976092
2017-03-16,0.0
2017-03-17,0.0
2017-03-20,0.0
2017-03-21,0.007124147891015786
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,-0.01600890899072116
2017-03-27,-0.014756052563557276
2017-03-28,0.038402645853837125
2017-03-29,-0.01664210870086713
2017-03-30,0.014667167757073774
2017-03-31,-0.018161489832536848
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,-0.028690127888228556
2017-04-13,0.0
2017-04-17,0.0
2017-04-18,-0.0073842221945543685
2017-04-19,0.0
2017-04-20,0.024756084446286186
2017-04-21,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.05794846356038175
2017-04-27,-0.010733077478932151
2017-04-28,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.025439524489175636
2017-05-04,0.0
2017-05-05,0.0
2017-05-08,0.0
2017-05-09,0.0302809863987048
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-15,0.0
2017-05-16,0.0021245553390973893
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,-0.005653612513080164
2017-05-22,-0.008528679433864816
2017-05-23,0.00573475357601283
2017-05-24,0.0
2017-05-25,-0.004989210626906382
2017-05-26,0.00107436576139186
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-05,0.025044665175486536
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,-0.025479746201484965
2017-06-09,0.03617474058293846
2017-06-12,-0.005530410346194725
