Date,T
2015-09-02,0.015470407538290099
2015-09-03,0.006703514007762035
2015-09-04,-0.014528021641798894
2015-09-08,0.017813072602456126
2015-09-09,-0.010862769707262743
2015-09-10,-0.0009153567616233538
2015-09-11,-0.0009157993688096999
2015-09-14,-0.005195475885549028
2015-09-15,0.009523793584939488
2015-09-16,0.002434508300608318
2015-09-17,-0.004857427980032525
2015-09-18,-0.00701628436059909
2015-09-21,0.0003069826356372207
2015-09-22,-0.008906297291550347
2015-09-23,-0.00216985478218934
2015-09-24,-0.0027943262754158704
2015-09-25,0.006851331408032291
2015-09-28,-0.013300589290075715
2015-09-29,0.005329353076858334
2015-09-30,0.015902172483450938
2015-10-01,-0.001534456111664917
2015-10-02,0.0033816772216324065
2015-10-05,0.02420335837472498
2015-10-06,-0.003589770171525508
