Date,MU
2015-09-04,0.013863788399628652
2015-09-08,0.04221164244031805
2015-09-09,-0.03251615358342075
2015-09-10,0.014151340969698722
2015-09-11,-0.0232556634502622
2015-09-14,-0.005952457754323515
2015-09-15,-0.010778653179951192
2015-09-16,0.009685145015337904
2015-09-17,-0.016186843790248928
2015-09-18,-0.05545414484591027
2015-09-21,0.016129056643234607
2015-09-22,-0.021587065887834656
2015-09-23,-0.03893588059029651
2015-09-24,0.0357866509102851
2015-09-25,-0.028031415350166844
2015-09-28,-0.057008489312132093
2015-09-29,0.022759396626397477
2015-09-30,0.04172455547809517
2015-10-01,-0.014018511882049167
2015-10-02,0.07718340205753482
2015-10-05,0.10433705990092657
2015-10-06,0.036994801341627914
2015-10-07,0.021953968584699446
2015-10-08,0.005370534020304074
