Date,ITW
2015-09-01,-0.03182280144030136
2015-09-02,0.010385965805486785
2015-09-03,0.006772243366852448
2015-09-04,-0.017897788163762307
2015-09-08,0.029354324251024133
2015-09-09,-0.007248637349237419
2015-09-10,-0.0016752880353704258
2015-09-11,0.0020379563590100513
2015-09-14,-0.011366218441099196
2015-09-15,0.02214693599598183
2015-09-16,0.0153916833452441
2015-09-17,-0.002331996442004325
2015-09-18,-0.00911610107241878
2015-09-21,-0.0060157537252041315
2015-09-22,-0.00854430955644836
2015-09-23,-0.004068968948642504
2015-09-24,-0.003965970661901519
2015-09-25,-0.0054298132801982035
2015-09-28,-0.016365266207916895
2015-09-29,0.009933016582942766
2015-09-30,0.011925568115563001
2015-10-01,-0.009233447834791075
2015-10-02,0.01508206636151499
2015-10-05,0.03442903624878424
