Date,DAL
2015-09-03,-0.02022174089460027
2015-09-04,0.0075451859428421475
2015-09-08,0.026211619177191503
2015-09-09,-0.01244898213331136
2015-09-10,0.01043237980531897
2015-09-11,0.009249169108435318
2015-09-14,-0.0006393494683277767
2015-09-15,0.0
2015-09-16,0.004265576034243379
2015-09-17,0.008494368757019588
2015-09-18,-0.017266731209781616
2015-09-21,0.0124276407217081
2015-09-22,-0.016719459966609507
2015-09-23,0.0027978822826597582
2015-09-24,-0.014595641463337028
2015-09-25,0.0028321510081124046
2015-09-28,-0.029974252734678464
2015-09-29,-0.013882414575308366
2015-09-30,0.018846453476758063
2015-10-01,0.012034550159539581
2015-10-02,-0.011891442004269948
2015-10-05,0.04657886698701974
2015-10-06,-0.03982105414309245
2015-10-07,0.019960070708358923
