Date,TEL
2015-09-02,0.019513448853279325
2015-09-03,0.0016937168702793048
2015-09-04,-0.015387289107847035
2015-09-08,0.03520512783620622
2015-09-09,-0.011115048640726988
2015-09-10,0.010400990138932142
2015-09-11,0.008799451497512045
2015-09-14,-0.0004932342665351364
2015-09-15,0.015313563368608563
2015-09-16,0.017839464937077887
2015-09-17,-0.006373009091188986
2015-09-18,-0.016196593601943587
2015-09-21,0.0
2015-09-22,-0.036022572062643476
2015-09-23,-0.005580078248981657
2015-09-24,-0.006971538554116918
2015-09-25,0.00034226751365462604
2015-09-28,-0.026874637062741402
2015-09-29,0.013192954448213001
2015-09-30,0.039757066028071275
2015-10-01,-0.0070129256000756035
2015-10-02,0.008743770794650718
2015-10-05,0.030171637145445906
2015-10-06,0.0012944161496435402
