Date,NRG
2015-09-03,0.011777078182904965
2015-09-04,-0.05132272734521015
2015-09-08,0.026770749039633168
2015-09-09,-0.022270692881889764
2015-09-10,0.019444618534682823
2015-09-11,0.005449518579875301
2015-09-14,-0.0016260915345228666
2015-09-15,0.03420198820749554
2015-09-16,-0.00419935699280638
2015-09-17,0.010543073069624098
2015-09-18,-0.062076288709634664
2015-09-21,-0.08787530695308021
2015-09-22,-0.06341465363420862
2015-09-23,0.004557269299002353
2015-09-24,0.003240435896646021
2015-09-25,-0.026485856715655287
2015-09-28,-0.011944259122829815
2015-09-29,-0.02820687452063375
2015-09-30,0.026261210275489333
2015-10-01,-0.007407509611344398
2015-10-02,0.00881970534820109
2015-10-05,0.06186951184302747
2015-10-06,-0.0006331906259119391
2015-10-07,-0.02408139567449974
