Date,XYZ
2016-07-25,0.012333077582634466
2016-07-26,0.02538070967695716
2016-07-27,0.002970270479021986
2016-07-28,-0.0009871894144976023
2016-07-29,-0.0049407303656408
2016-08-01,0.011916572909208778
2016-08-02,-0.013738900433121648
2016-08-03,0.038805908681273316
2016-08-04,0.08429120208916796
2016-08-05,-0.015017674989132201
2016-08-08,0.009865525929593
2016-08-09,0.0035523944085211756
2016-08-10,-0.02035402584322321
2016-08-11,0.027100288979694298
2016-08-12,0.025505713700257227
2016-08-15,-0.015437419170784228
2016-08-16,0.013937352566762984
2016-08-17,-0.02061861836027834
2016-08-18,0.030701788875572733
2016-08-19,0.004255335381690539
2016-08-22,0.0016948732005155343
2016-08-23,0.04822340636337996
2016-08-24,-0.018563397057095088
2016-08-25,0.012335573526879084
