Date,TGT
2015-09-02,0.022019073995278804
2015-09-03,0.005191075854554139
2015-09-04,-0.013298516392972415
2015-09-08,0.025647678159855358
2015-09-09,-0.01556541418281765
2015-09-10,-0.0011665712427546548
2015-09-11,0.010510550979454303
2015-09-14,-0.009373740625058802
2015-09-15,0.008684515007088667
2015-09-16,0.008738010677669328
2015-09-17,-0.006242041078929561
2015-09-18,-0.01781835961782552
2015-09-21,0.021404318884589157
2015-09-22,-0.002683051106873169
2015-09-23,0.009096381391672015
2015-09-24,0.003809019003384373
2015-09-25,-0.00012631930477335906
2015-09-28,-0.01745696321482837
2015-09-29,0.0039907914423324975
2015-09-30,0.008720667404271909
2015-10-01,0.010805613707020267
2015-10-02,0.0002517172391602873
2015-10-05,-0.000251653893536985
2015-10-06,-0.01773335236891982
